company_id,type,worker_hours,pjsb,heca,fa,mt,jt,da,ft,sif,trir,sbli
C001,contractor,5370150.0,0.537,0.453,120,89,11,21,0,3,4.51,3.58
C002,contractor,664284.0,0.523,0.497,26,5,1,0,0,0,1.81,1.76
C003,contractor,907777.0,0.484,0.493,8,2,0,3,0,0,1.1,1.39
C004,contractor,1067138.0,0.67,0.594,3,6,2,1,0,0,1.69,1.18
C005,client,1629167.0,0.817,0.673,16,6,7,3,0,1,1.96,1.76
C006,contractor,10016121.0,0.575,0.396,39,57,12,2,0,4,1.42,0.89
C007,contractor,1835591.0,0.481,0.509,23,8,10,6,0,0,2.61,2.48
C008,contractor,3643257.0,0.483,0.384,204,8,5,32,0,1,2.47,4.18
C009,client,32248974.0,0.755,0.532,472,110,111,211,2,12,2.69,3.11
C010,contractor,3748464.0,0.687,0.37,8,6,11,14,0,1,1.65,1.76
C011,contractor,15537550.0,0.661,0.383,120,46,38,30,0,5,1.47,1.4
C012,contractor,1769658.0,0.503,0.476,8,12,1,10,0,0,2.6,2.55
C013,contractor,4560447.0,0.62,0.491,115,8,2,1,0,2,0.48,0.81
C014,contractor,1732319.0,0.605,0.549,21,7,2,0,0,0,1.04,0.82
C015,contractor,3833378.0,0.618,0.422,13,1,22,15,0,0,1.98,2.13
C016,client,17758957.0,0.783,0.718,118,96,26,2,0,2,1.4,0.93
C017,contractor,630636.0,0.619,0.548,12,1,2,1,0,0,1.27,1.49
C018,client,10477606.0,0.758,0.649,56,16,21,33,0,3,1.34,1.51
C019,contractor,8113633.0,0.599,0.518,47,19,21,14,0,0,1.33,1.26
C020,contractor,2751358.0,0.628,0.398,130,20,5,19,0,0,3.2,4.02
C021,contractor,909022.0,0.672,0.456,16,1,3,14,0,0,3.96,5.58
C022,contractor,6542097.0,0.401,0.32,210,57,20,27,0,6,3.18,3.21
C023,contractor,2992619.0,0.548,0.295,61,26,16,22,0,0,4.28,4.28
C024,contractor,8060443.0,0.529,0.488,53,29,6,51,0,2,2.13,2.5
C025,contractor,6128176.0,0.507,0.362,56,48,10,19,0,0,2.51,2.14
C026,client,47789311.0,0.634,0.627,111,185,98,138,0,10,1.76,1.61
C027,contractor,4363730.0,0.784,0.612,95,9,8,4,0,0,0.96,1.19
C028,client,1574508.0,0.557,0.642,15,5,5,0,0,0,1.27,0.98
C029,client,7519862.0,0.796,0.785,118,25,3,14,0,0,1.12,1.26
C030,contractor,7928669.0,0.371,0.34,108,22,2,18,0,4,1.06,1.27
C031,contractor,34863251.0,0.546,0.387,665,74,12,5,0,0,0.52,0.69
